step,train_loss,val_loss,val_ppl,lr,grad_norm,tok_per_s,arch,lam_L0,lam_L1,lam_L2,lam_L3,alpha_L0_H0,alpha_L0_H1,alpha_L0_H2,alpha_L0_H3,alpha_L0_H4,alpha_L0_H5,alpha_L0_H6,alpha_L0_H7,alpha_L1_H0,alpha_L1_H1,alpha_L1_H2,alpha_L1_H3,alpha_L1_H4,alpha_L1_H5,alpha_L1_H6,alpha_L1_H7,alpha_L2_H0,alpha_L2_H1,alpha_L2_H2,alpha_L2_H3,alpha_L2_H4,alpha_L2_H5,alpha_L2_H6,alpha_L2_H7,alpha_L3_H0,alpha_L3_H1,alpha_L3_H2,alpha_L3_H3,alpha_L3_H4,alpha_L3_H5,alpha_L3_H6,alpha_L3_H7
0,10.825837,10.825837,50303.8621,0.0,0.004558,96.3,narb,0.5,0.5,0.5,0.5,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714
step,train_loss,val_loss,val_ppl,lr,grad_norm,tok_per_s,arch,lam_L0,lam_L1,lam_L2,lam_L3,alpha_L0_H0,alpha_L0_H1,alpha_L0_H2,alpha_L0_H3,alpha_L0_H4,alpha_L0_H5,alpha_L0_H6,alpha_L0_H7,alpha_L1_H0,alpha_L1_H1,alpha_L1_H2,alpha_L1_H3,alpha_L1_H4,alpha_L1_H5,alpha_L1_H6,alpha_L1_H7,alpha_L2_H0,alpha_L2_H1,alpha_L2_H2,alpha_L2_H3,alpha_L2_H4,alpha_L2_H5,alpha_L2_H6,alpha_L2_H7,alpha_L3_H0,alpha_L3_H1,alpha_L3_H2,alpha_L3_H3,alpha_L3_H4,alpha_L3_H5,alpha_L3_H6,alpha_L3_H7
0,10.825837,10.825837,50303.8621,0.0,0.01007,153.6,narb,0.5,0.5,0.5,0.5,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714
20,10.825838,10.825838,50303.8852,0.00012,0.010075,153.7,narb,0.5000002384185791,0.5000002384185791,0.5000002384185791,0.4999998211860657,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714
40,10.825838,10.825836,50303.7854,0.00024,0.009757,153.7,narb,0.4999808371067047,0.5000198483467102,0.4999840259552002,0.4999787509441376,0.17677666246891022,0.1767767369747162,0.17677663266658783,0.1767767071723938,0.17677666246891022,0.17677666246891022,0.1767766773700714,0.17677661776542664,0.17677666246891022,0.176776722073555,0.17677678167819977,0.17677664756774902,0.17677676677703857,0.17677681148052216,0.1767766773700714,0.1767767369747162,0.17677664756774902,0.17677664756774902,0.17677664756774902,0.1767767369747162,0.17677661776542664,0.17677666246891022,0.17677661776542664,0.17677661776542664,0.1767767071723938,0.176776722073555,0.17677666246891022,0.17677676677703857,0.1767767071723938,0.176776722073555,0.17677666246891022,0.1767767071723938
step,train_loss,val_loss,val_ppl,lr,grad_norm,tok_per_s,arch,lam_L0,lam_L1,lam_L2,lam_L3,alpha_L0_H0,alpha_L0_H1,alpha_L0_H2,alpha_L0_H3,alpha_L0_H4,alpha_L0_H5,alpha_L0_H6,alpha_L0_H7,alpha_L1_H0,alpha_L1_H1,alpha_L1_H2,alpha_L1_H3,alpha_L1_H4,alpha_L1_H5,alpha_L1_H6,alpha_L1_H7,alpha_L2_H0,alpha_L2_H1,alpha_L2_H2,alpha_L2_H3,alpha_L2_H4,alpha_L2_H5,alpha_L2_H6,alpha_L2_H7,alpha_L3_H0,alpha_L3_H1,alpha_L3_H2,alpha_L3_H3,alpha_L3_H4,alpha_L3_H5,alpha_L3_H6,alpha_L3_H7
0,10.825837,10.825837,50303.8621,0.0,0.01007,202.1,narb,0.5,0.5,0.5,0.5,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714
20,10.825838,10.825838,50303.8852,0.00012,0.010075,211.5,narb,0.5000002384185791,0.5000002384185791,0.5000002384185791,0.4999998211860657,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714,0.1767766773700714
40,10.825838,10.825836,50303.7854,0.00024,0.009757,208.9,narb,0.4999808371067047,0.5000198483467102,0.4999840259552002,0.4999787509441376,0.17677666246891022,0.1767767369747162,0.17677663266658783,0.1767767071723938,0.17677666246891022,0.17677666246891022,0.1767766773700714,0.17677661776542664,0.17677666246891022,0.176776722073555,0.17677678167819977,0.17677664756774902,0.17677676677703857,0.17677681148052216,0.1767766773700714,0.1767767369747162,0.17677664756774902,0.17677664756774902,0.17677664756774902,0.1767767369747162,0.17677661776542664,0.17677666246891022,0.17677661776542664,0.17677661776542664,0.1767767071723938,0.176776722073555,0.17677666246891022,0.17677676677703857,0.1767767071723938,0.176776722073555,0.17677666246891022,0.1767767071723938
